('70', '拯救大兵瑞恩', '美国', '1998', '史蒂文·斯皮尔伯格 Steven Spielberg')
('71', '让子弹飞', '中国大陆 香港', '2010', '姜文 Wen Jiang')
('72', '音乐之声', '美国', '1965', '罗伯特·怀斯 Robert Wise')
('73', '致命魔术', '美国 英国', '2006', '克里斯托弗·诺兰 Christopher Nolan')
('74', '七宗罪', '美国', '1995', '大卫·芬奇 David Fincher')
('75', '猫鼠游戏', '美国 加拿大', '2002', '史蒂文·斯皮尔伯格 Steven Spielberg')
('76', '被嫌弃的松子的一生', '日本', '2006', '中岛哲也 Tetsuya Nakashima')
('77', '低俗小说', '美国', '1994', '昆汀·塔伦蒂诺 Quentin Tarantino')
('78', '沉默的羔羊', '美国', '1991', '乔纳森·戴米 Jonathan Demme')
('79', '蝴蝶效应', '美国 加拿大', '2004', '埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber')
('80', '春光乍泄', '香港 日本 韩国', '1997', '王家卫 Kar Wai Wong')
('81', '勇敢的心', '美国', '1995', '梅尔·吉布森 Mel Gibson')
('82', '天使爱美丽', '法国 德国', '2001', '让-皮埃尔·热内 Jean-Pierre Jeunet')
('83', '穿条纹睡衣的男孩', '英国 美国', '2008', '马克·赫尔曼 Mark Herman')
('84', '剪刀手爱德华', '美国', '1990', '蒂姆·波顿 Tim Burton')
('85', '心灵捕手', '美国', '1997', '格斯·范·桑特 Gus Van Sant')
('86', '禁闭岛', '美国', '2010', 'Martin Scorsese')
('87', '布达佩斯大饭店', '美国 德国 英国', '2014', '韦斯·安德森 Wes Anderson')
('88', '阿凡达', '美国 英国', '2009', '詹姆斯·卡梅隆 James Cameron')
('89', '入殓师', '日本', '2008', '泷田洋二郎 Yôjirô Takita')
('90', '幽灵公主', '日本', '1997', '宫崎骏 Hayao Miyazaki')
('91', '加勒比海盗', '美国', '2003', '戈尔·维宾斯基 Gore Verbinski')
('92', '摩登时代', '美国', '1936', '查理·卓别林 Charles Chaplin')
('93', '致命ID', '美国', '2003', 'James Mangold')
('94', '断背山', '美国 加拿大', '2005', '李安 Ang Lee')
('95', '阳光灿烂的日子', '中国大陆 香港', '1994', '姜文 Wen Jiang')
('96', '重庆森林', '香港', '1994', '王家卫 Kar Wai Wong')
('97', '第六感', '美国', '1999', 'M·奈特·沙马兰 M. Night Shyamalan')
('98', '狩猎', '丹麦 瑞典', '2012', '托马斯·温特伯格 Thomas Vinterberg')
('99', '喜剧之王', '香港', '1999', '周星驰 Stephen Chow / 李力持 Lik-Chi Lee')
('100', '玛丽和马克思', '澳大利亚', '2009', '亚当·艾略特 Adam Elliot')
('101', '消失的爱人', '美国', '2014', '大卫·芬奇 David Fincher')
('102', '告白', '日本', '2010', '中岛哲也 Tetsuya Nakashima')
('103', '大鱼', '美国', '2003', '蒂姆·波顿 Tim Burton')
('104', '小森林 夏秋篇', '日本', '2014', '森淳一 Junichi Mori')
('105', '一一', '台湾 日本', '2000', '杨德昌 Edward Yang')
('106', '阳光姐妹淘', '韩国', '2011', '姜炯哲 Hyeong-Cheol Kang')
('107', '爱在黎明破晓前', '美国 奥地利 瑞士', '1995', '理查德·林克莱特 Richard Linklater')
('108', '请以你的名字呼唤我', '意大利 法国 巴西 美国 荷兰 德国', '2017', '卢卡·瓜达尼诺 Luca Guadagnino')
('109', '射雕英雄传之东成西就', '香港', '1993', '刘镇伟 Jeffrey Lau')
('110', '甜蜜蜜', '香港', '1996', '陈可辛 Peter Chan')
('111', '侧耳倾听', '日本', '1995', '近藤喜文 Yoshifumi Kondo')
('112', '红辣椒', '日本', '2006', '今敏 Satoshi Kon')
('113', '驯龙高手', '美国', '2010', '迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders')
('114', '倩女幽魂', '香港', '1987', '程小东 Siu-Tung Ching')
('115', '超脱', '美国', '2011', '托尼·凯耶 Tony Kaye')
('116', '恐怖直播', '韩国', '2013', '金秉祐 Byeong-woo Kim')
('117', '菊次郎的夏天', '日本', '1999', '北野武 Takeshi Kitano')
('118', '爱在日落黄昏时', '美国', '2004', '理查德·林克莱特 Richard Linklater')
('119', '风之谷', '日本', '1984', '宫崎骏 Hayao Miyazaki')
('120', '小森林 冬春篇', '日本', '2015', '森淳一 Junichi Mori')
('121', '7号房的礼物', '韩国', '2013', '李焕庆 Hwan-kyeong Lee')
('122', '杀人回忆', '韩国', '2003', '奉俊昊 Joon-ho Bong')
('123', '哈利·波特与死亡圣器(下)', '美国 英国', '2011', '大卫·叶茨 David Yates')
('124', '海蒂和爷爷', '德国 瑞士 南非', '2015', '阿兰·葛斯彭纳 Alain Gsponer')
('125', '幸福终点站', '美国', '2004', '史蒂文·斯皮尔伯格 Steven Spielberg')
('126', '蝙蝠侠：黑暗骑士崛起', '美国 英国', '2012', '克里斯托弗·诺兰 Christopher Nolan')
('127', '上帝之城', '巴西 法国', '2002', '费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund')
('128', '借东西的小人阿莉埃蒂', '日本', '2010', '米林宏昌 Hiromasa Yonebayashi')
('129', '萤火之森', '日本', '2011', '大森贵弘 Takahiro Omori')
('130', '超能陆战队', '美国', '2014', '唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams')
('131', '唐伯虎点秋香', '香港', '1993', '李力持 Lik-Chi Lee')
('132', '神偷奶爸', '美国 法国', '2010', '皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud')
('133', '无人知晓', '日本', '2004', '是枝裕和 Hirokazu Koreeda')
('134', '怪兽电力公司', '美国', '2001', '彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman')
('135', '我不是药神', '中国大陆', '2018', '文牧野 Muye Wen')
('136', '电锯惊魂', '美国', '2004', '詹姆斯·温 James Wan')
('137', '岁月神偷', '香港 中国大陆', '2010', '罗启锐 Alex Law')
('138', '玩具总动员3', '美国', '2010', '李·昂克里奇 Lee Unkrich')
('139', '谍影重重3', '美国 德国', '2007', '保罗·格林格拉斯 Paul Greengrass')
('140', '血战钢锯岭', '美国 澳大利亚', '2016', '梅尔·吉布森 Mel Gibson')
('141', '疯狂原始人', '美国', '2013', '科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders')
('142', '七武士', '日本', '1954', '黑泽明 Akira Kurosawa')
('143', '喜宴', '台湾 美国', '1993', '李安 Ang Lee')
('144', '英雄本色', '香港', '1986', '吴宇森 John Woo')
('145', '真爱至上', '英国 美国 法国', '2003', '理查德·柯蒂斯 Richard Curtis')
('146', '东邪西毒', '香港 台湾', '1994', '王家卫 Kar Wai Wong')
('147', '萤火虫之墓', '日本', '1988', '高畑勋 Isao Takahata')
('148', '傲慢与偏见', '法国 英国 美国', '2005', '乔·怀特 Joe Wright')
('149', '时空恋旅人', '英国', '2013', '理查德·柯蒂斯 Richard Curtis')
('150', '贫民窟的百万富翁', '英国 美国', '2008', '丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan')
('151', '黑天鹅', '美国', '2010', '达伦·阿罗诺夫斯基 Darren Aronofsky')
